25,23,0
20,16,0
25,18,0
8,12,1
8,13,0
12,2,1
18,21,0
23,9,0
10,12,0
20,19,0
8,1,1
17,25,0
15,20,0
4,2,1
9,16,0
4,11,1
5,13,1
4,5,1
20,20,0
13,25,0
21,13,0
16,5,1
22,25,0
17,25,0
7,17,0
19,19,0
18,10,0
22,7,1
22,14,0
20,14,0
14,25,0
5,12,1
7,23,0
2,11,1
22,23,0
25,10,0
10,4,1
19,2,1
16,9,1
25,9,0
4,7,1
5,25,0
22,0,1
23,0,1
22,22,0
10,11,1
21,12,0
15,16,0
8,8,1
8,5,1
10,17,0
21,19,0
22,16,0
2,23,0
14,20,0
9,8,1
3,8,1
23,25,0
23,20,0
18,18,0
7,0,1
2,10,1
19,12,0
16,20,0
8,23,0
23,0,1
6,18,0
5,18,0
22,19,0
24,0,1
22,22,0
20,18,0
3,22,0
24,7,0
18,8,1
6,5,1
9,21,0
11,7,1
24,11,0
18,16,0
21,8,0
13,11,0
14,18,0
13,5,1
7,13,0
24,4,1
21,18,0
13,12,0
22,15,0
22,5,1
17,6,1
12,24,0
20,2,1
0,20,0
18,16,0
4,23,0
14,15,0
18,2,1
14,3,1
20,18,0
